title,score,developer,publisher,rom_name,size
Halo: Combat Evolved,9.7,Bungie,Microsoft Game Studios,Halo - Combat Evolved (USA) (Rev 2).iso,7825162240
Grand Theft Auto Double Pack,9.6,Rockstar Vienna,Rockstar Games,Grand Theft Auto III (USA).iso,7825162240
Halo 2,9.5,Bungie,Microsoft Game Studios,"Halo 2 (USA, Europe) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7825162240
Burnout 3: Takedown,9.4,Criterion Games,EA Games,Burnout 3 - Takedown (USA).iso,7825162240
Ninja Gaiden Black,9.4,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7825162240
Star Wars: Knights of the Old Republic,9.4,BioWare,LucasArts,Star Wars - Knights of the Old Republic II - The Sith Lords (USA).iso,7825162240
Tom Clancy's Splinter Cell: Chaos Theory,9.4,Ubisoft Montreal,Ubisoft,Tom Clancy's Splinter Cell - Chaos Theory (Japan).iso,7825162240
Grand Theft Auto: San Andreas,9.3,Rockstar North,Rockstar Games,"Grand Theft Auto - San Andreas (USA) (En,Es) (Rev 1).iso",7825162240
Tom Clancy's Splinter Cell,9.3,Ubisoft Montreal,Ubisoft,"Tom Clancy's Splinter Cell (USA) (En,Fr).iso",7825162240
Tom Clancy's Splinter Cell: Pandora Tomorrow,9.3,Ubisoft Shanghai,Ubisoft,Tom Clancy's Splinter Cell - Pandora Tomorrow (Japan).iso,7825162240
Tony Hawk's Pro Skater 3,9.3,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).iso,7825162240
ESPN NFL 2K5,9.2,Visual Concepts,Sega,ESPN NHL 2K5 (USA).iso,7825162240
Forza Motorsport (2005),9.2,Microsoft Game Studios,Microsoft Game Studios,"Forza Motorsport (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7825162240
Madden NFL 2003,9.2,EA Sports,EA Sports,Madden NFL 2005 (USA).iso,7825162240
Madden NFL 2004,9.2,EA Tiburon,EA Sports,Madden NFL 2005 (USA).iso,7825162240
Prince of Persia: The Sands of Time,9.2,Ubisoft,Ubisoft,"Prince of Persia - The Sands of Time (USA) (En,Fr,Es).iso",7825162240
SoulCalibur II,9.2,Namco,Namco,Soulcalibur II (USA).iso,7825162240
SSX 3,9.2,EA Canada,EA Sports Big,SSX 3 (USA).iso,7825162240
ESPN NFL Football,9.1,Visual Concepts,Sega,ESPN NFL Football (USA).iso,7825162240
Madden NFL 2005,9.1,EA Tiburon,EA Sports,Madden NFL 2005 (USA).iso,7825162240
Ninja Gaiden (2004),9.1,Team Ninja,Tecmo,"Ninja Gaiden Black (USA) (En,Ja).iso",7825162240
Half-Life 2,9.0,Valve Software,VU Games,"Half-Life 2 (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Madden NFL 2002,9.0,EA Sports,EA Sports,Madden NFL 2005 (USA).iso,7825162240
MVP Baseball 2004,9.0,EA Sports,EA Sports,MVP Baseball 2005 (USA).iso,7825162240
NBA 2K2,9.0,Visual Concepts,Sega,NBA 2K2 (USA).iso,7825162240
NCAA Football 2003,9.0,EA Sports,EA Sports,NCAA Football 2005 (USA).iso,7825162240
Panzer Dragoon Orta,9.0,Smilebit,Sega,Panzer Dragoon Orta (USA) (Beta) (2002-11-14).iso,3919413248
Project Gotham Racing 2,9.0,Bizarre Creations,Microsoft Game Studios,"Project Gotham Racing 2 (USA, Japan) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7825162240
Tony Hawk's Pro Skater 4,9.0,Neversoft Entertainment,Activision,Tony Hawk's Pro Skater 4 (USA).iso,7825162240
World Soccer Winning Eleven 8 International,9.0,KCET,Konami,"World Soccer Winning Eleven 8 - International (USA) (En,Es).iso",7825162240
Burnout Revenge,8.9,Criterion Games,Electronic Arts,Burnout Revenge (USA).iso,7825162240
Halo 2 Multiplayer Map Pack,8.9,Bungie,Microsoft Game Studios,"Halo 2 Multiplayer Map Pack (World) (En,Ja,Fr,De,Es,It,Zh,Ko).iso",7825162240
Jade Empire,8.9,BioWare,Microsoft Game Studios,"Jade Empire (USA, Europe) (En,Fr,De,Es,It) (Bonus Disc).iso",7825162240
Max Payne,8.9,Remedy Entertainment,Gathering,Max Payne (USA).iso,7825162240
NBA Street V3,8.9,EA Canada,EA Sports Big,NBA Street V3 (USA).iso,7825162240
NBA Street Vol. 2,8.9,Electronic Arts,EA Sports Big,NBA Street Vol. 2 (USA).iso,7825162240
NCAA Football 2005,8.9,EA Tiburon,EA Sports,NCAA Football 2005 (USA).iso,7825162240
NHL 2002,8.9,EA Sports,Electronic Arts,NHL 2005 (USA).iso,7825162240
NHL 2K3,8.9,Treyarch,Sega,NHL 2K6 (USA).iso,7825162240
The Chronicles of Riddick: Escape From Butcher Bay,8.9,Starbreeze,VU Games,"Chronicles of Riddick, The - Escape from Butcher Bay (USA).iso",7825162240
Tiger Woods PGA Tour 2004,8.9,EA Sports,EA Sports,Tiger Woods PGA Tour 2005 (USA).iso,7825162240
Tom Clancy's Splinter Cell: Double Agent,8.9,Ubisoft Shanghai,Ubisoft,"Tom Clancy's Splinter Cell - Double Agent (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Top Spin,8.9,Pam Development,Microsoft Game Studios,"Top Spin (USA) (En,Fr,De).iso",7825162240
