title,score,developer,publisher,rom_name,size,running_total
Flipnote Studio,9.3,Nintendo,Nintendo,"Flipnote Studio (Europe, Australia) (En,Fr,De,Es,It).nds",3.3 MiB,3.3 MiB
Mario Kart DS,9.1,Nintendo,Nintendo,"Mario Kart DS (USA, Australia) (En,Fr,De,Es,It).nds",32.0 MiB,35.3 MiB
The Legend of Zelda: Phantom Hourglass,9.0,Nintendo,Nintendo,"Legend of Zelda, The - Phantom Hourglass (USA) (En,Fr,Es) (Wii U Virtual Console).nds",64.0 MiB,99.3 MiB
Mario & Luigi: Bowser's Inside Story,9.0,Alphadream Corporation,Nintendo,Mario & Luigi - Bowser's Inside Story (USA) (Video).nds,2.0 MiB,101.3 MiB
Advance Wars: Dual Strike,9.0,Intelligent Systems,Nintendo,"Advance Wars - Dual Strike (USA, Australia).nds",32.0 MiB,133.3 MiB
New Super Mario Bros.,8.9,Nintendo,Nintendo,"New Super Mario Bros. (USA, Australia).nds",32.0 MiB,165.3 MiB
Castlevania: Dawn of Sorrow,8.9,Konami,Konami,Castlevania - Dawn of Sorrow (USA).nds,64.0 MiB,229.3 MiB
Meteos,8.8,Q Entertainment,Nintendo,Meteos (USA).nds,64.0 MiB,293.3 MiB
The Legend of Zelda: Spirit Tracks,8.7,Nintendo,Nintendo,"Legend of Zelda, The - Spirit Tracks (USA) (En,Fr,Es) (Rev 1) (Wii U Virtual Console).nds",128.0 MiB,421.3 MiB
Pokemon White Version,8.7,Game Freak,Nintendo,"Pokemon - White Version (USA, Europe) (NDSi Enhanced).nds",256.0 MiB,677.3 MiB
Pokemon SoulSilver Version,8.7,Game Freak,Nintendo,"Pokemon - SoulSilver Version (USA, Australia).nds",128.0 MiB,805.3 MiB
Pokemon HeartGold Version,8.7,Game Freak,Nintendo,Pokemon - HeartGold Version (USA).nds,128.0 MiB,933.3 MiB
Pokemon Black Version,8.7,Game Freak,Nintendo,"Pokemon - Black Version (USA, Europe) (NDSi Enhanced).nds",256.0 MiB,1.2 GiB
Elite Beat Agents,8.7,iNiS,Nintendo,Elite Beat Agents (USA).nds,128.0 MiB,1.3 GiB
Dragon Quest IX: Sentinels of the Starry Skies,8.7,Level 5,Nintendo,"Dragon Quest IX - Sentinels of the Starry Skies (USA) (En,Fr,Es).nds",256.0 MiB,1.5 GiB
America's Test Kitchen: Let's Get Cooking,8.7,indieszero,Nintendo,America's Test Kitchen - Let's Get Cooking (USA).nds,256.0 MiB,1.8 GiB
Professor Layton and the Unwound Future,8.6,Level 5,Nintendo,Professor Layton and the Unwound Future (USA) (Video).nds,2.5 MiB,1.8 GiB
Planet Puzzle League,8.6,Intelligent Systems,Nintendo,Planet Puzzle League (USA).nds,32.0 MiB,1.8 GiB
Mario & Luigi: Partners in Time,8.6,Alphadream Corporation,Nintendo,Mario & Luigi - Partners in Time (USA) (Rev 1) (Wii U Virtual Console).nds,64.0 MiB,1.9 GiB
Kirby: Canvas Curse,8.6,HAL Labs,Nintendo,Kirby - Canvas Curse (USA) (Wii U Virtual Console).nds,64.0 MiB,1.9 GiB
Animal Crossing: Wild World,8.6,Nintendo,Nintendo,Animal Crossing - Wild World (USA) (Rev 1) (Wii U Virtual Console).nds,32.0 MiB,2.0 GiB
Advance Wars: Days of Ruin,8.6,Intelligent Systems,Nintendo,"Advance Wars - Days of Ruin (USA) (En,Fr,Es).nds",64.0 MiB,2.0 GiB
The Legend of Zelda: Four Swords Anniversary Edition,8.5,GREZZO,Nintendo,,,
Professor Layton and the Curious Village,8.5,Level 5,Nintendo,"Professor Layton and the Curious Village (USA, Australia).nds",64.0 MiB,2.1 GiB
Pokemon Pearl Version,8.5,Game Freak,Nintendo,Pokemon - Pearl Version (USA) (Rev 5).nds,64.0 MiB,2.2 GiB
Pokemon Diamond Version,8.5,Game Freak,Nintendo,Pokemon - Diamond Version (USA) (Rev 5).nds,64.0 MiB,2.2 GiB
Metroid Prime: Hunters,8.5,Nintendo Software Technology,Nintendo,Metroid Prime - Hunters (USA) (Rev 1) (Wii U Virtual Console).nds,64.0 MiB,2.3 GiB
Castlevania: Portrait of Ruin,8.5,Konami,Konami,Castlevania - Portrait of Ruin (USA).nds,64.0 MiB,2.4 GiB
