title,score,developer,publisher,rom_name,size,running_total
The Legend of Zelda: Ocarina of Time,9.9,Nintendo,Nintendo,"Legend of Zelda, The - Ocarina of Time (USA) (Rev 2).z64",32.0 MiB,32.0 MiB
The Legend of Zelda: Majora's Mask,9.5,Nintendo,Nintendo,"Legend of Zelda, The - Majora's Mask (USA) (GameCube Edition).z64",32.0 MiB,64.0 MiB
Paper Mario,9.3,Intelligent Systems,Nintendo,Paper Mario (USA).z64,40.0 MiB,104.0 MiB
Buck Bumble,9.3,Argonaut Games,Ubisoft,Buck Bumble (USA).z64,12.0 MiB,116.0 MiB
Wave Race 64,9.2,Nintendo,Nintendo,Stunt Racer 64 (USA).z64,12.0 MiB,128.0 MiB
Conker's Bad Fur Day,9.2,Rare Ltd.,Rare Ltd.,Conker's Bad Fur Day (USA).z64,64.0 MiB,192.0 MiB
Mario Tennis,9.1,Camelot Software Planning,Nintendo,Mario Tennis (USA).z64,16.0 MiB,208.0 MiB
Mario Golf,9.1,Camelot Software Planning,Nintendo,Mario Golf (USA).z64,32.0 MiB,240.0 MiB
International Superstar Soccer '98,9.1,KCEO,Konami,International Superstar Soccer '98 (USA).z64,12.0 MiB,252.0 MiB
Donkey Kong 64,9.0,Rare Ltd.,Nintendo,Donkey Kong 64 (USA).z64,32.0 MiB,284.0 MiB
Blast Corps,9.0,Rare Ltd.,Nintendo,Blast Corps (USA) (Rev 1).z64,8.0 MiB,292.0 MiB
Beetle Adventure Racing,9.0,Paradigm Entertainment,EA Sports,"Beetle Adventure Racing! (USA) (En,Fr,De).z64",16.0 MiB,308.0 MiB
WWF No Mercy,8.9,Aki Corp.,THQ,WWF No Mercy (USA) (Rev 1).z64,32.0 MiB,340.0 MiB
Star Fox 64,8.8,Nintendo,Nintendo,Star Fox 64 (USA) (Rev 1).z64,12.0 MiB,352.0 MiB
Excitebike 64,8.8,Left Field Productions,Nintendo,Excitebike 64 (USA) (Rev 1).z64,16.0 MiB,368.0 MiB
Diddy Kong Racing,8.8,Rare Ltd.,Rare Ltd.,"Diddy Kong Racing (USA) (En,Fr) (Rev 1).z64",12.0 MiB,380.0 MiB
Jet Force Gemini,8.7,Rare Ltd.,Rare Ltd.,Jet Force Gemini (USA).z64,32.0 MiB,412.0 MiB
F-Zero X,8.7,Nintendo,Nintendo,F-Zero X (USA).z64,16.0 MiB,428.0 MiB
Super Smash Bros.,8.6,HAL Labs,Nintendo,Super Smash Bros. (USA).z64,16.0 MiB,444.0 MiB
Mario Party 2,8.6,Hudson,Nintendo,Mario Party 2 (USA).z64,32.0 MiB,476.0 MiB
World Driver Championship,8.5,Boss Game Studios,Midway,World Driver Championship (USA).z64,16.0 MiB,492.0 MiB
Mario Kart 64,8.5,Nintendo,Nintendo,Mario Kart 64 (USA).z64,12.0 MiB,504.0 MiB
Wipeout 64,8.4,Psygnosis,Midway,Wipeout 64 (USA).z64,8.0 MiB,512.0 MiB
Mystical Ninja starring Goemon,8.3,KCEO,Konami,Mystical Ninja Starring Goemon (USA).z64,16.0 MiB,528.0 MiB
Harvest Moon 64,8.3,Victor Interactive Software,Natsume,Harvest Moon 64 (USA).z64,16.0 MiB,544.0 MiB
Ridge Racer 64,8.2,Nintendo Software Technology,Nintendo,RR64 - Ridge Racer 64 (USA).z64,32.0 MiB,576.0 MiB
Pokemon Stadium 2,8.2,HAL Labs,Nintendo,Pokemon Stadium 2 (USA).z64,64.0 MiB,640.0 MiB
Ogre Battle 64: Person of Lordly Caliber,8.2,Quest,Atlus,Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev 1).z64,40.0 MiB,680.0 MiB
Mario Party 3,8.2,Hudson,Nintendo,Mario Party 3 (USA).z64,32.0 MiB,712.0 MiB
Kirby 64: The Crystal Shards,8.2,HAL Labs,Nintendo,Kirby 64 - The Crystal Shards (USA).z64,32.0 MiB,744.0 MiB
Extreme-G,8.2,Probe Entertainment Limited,Acclaim,Extreme-G (USA).z64,8.0 MiB,752.0 MiB
Pokemon Puzzle League,8.1,Nintendo Software Technology,Nintendo,Pokemon Puzzle League (USA).z64,32.0 MiB,784.0 MiB
Body Harvest,8.1,DMA Design,Midway,Body Harvest (USA).z64,12.0 MiB,796.0 MiB
StarCraft 64,8.0,Mass Media,Nintendo,StarCraft 64 (USA).z64,32.0 MiB,828.0 MiB
Pilotwings 64,8.0,Nintendo,Nintendo,Pilotwings 64 (USA).z64,8.0 MiB,836.0 MiB
Mario Party,8.0,Hudson,Nintendo,Mario Party (USA).z64,32.0 MiB,868.0 MiB
Castlevania (1998),7.8,KCEK,Konami,Castlevania (USA) (Rev 2).z64,12.0 MiB,880.0 MiB
Turok 3: Shadow of Oblivion (2000),7.7,Acclaim Studios Austin,Acclaim,Turok 3 - Shadow of Oblivion (USA).z64,32.0 MiB,912.0 MiB
Pokemon Snap,7.7,HAL Labs,Nintendo,Pokemon Snap (USA).z64,16.0 MiB,928.0 MiB
Mickey's Speedway USA,7.5,Rare Ltd.,Nintendo,Mickey's Speedway USA (USA).z64,32.0 MiB,960.0 MiB
Hercules: The Legendary Journeys,7.3,Player 1,Titus Software,Hercules - The Legendary Journeys (USA).z64,16.0 MiB,976.0 MiB
Yoshi's Story,7.2,Nintendo,Nintendo,"Yoshi's Story (USA) (En,Ja).z64",16.0 MiB,992.0 MiB
Aidyn Chronicles: The First Mage,7.2,H2O Interactive,THQ,Aidyn Chronicles - The First Mage (USA) (Rev 1).z64,32.0 MiB,1.0 GiB
Dr. Mario 64,7.1,Newcom,Nintendo,Dr. Mario 64 (USA).z64,4.0 MiB,1.0 GiB
1080: TenEighty Snowboarding,7.0,Nintendo,Nintendo,"1080 Snowboarding (Japan, USA) (En,Ja).z64",16.0 MiB,1.0 GiB
Looney Tunes Duck Dodgers Starring Daffy Duck,6.9,Paradigm Entertainment,Infogrames,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es).z64",16.0 MiB,1.0 GiB
Cruis'n  Exotica,6.3,Gratuitous Games,Midway,Cruis'n Exotica (USA).z64,16.0 MiB,1.1 GiB
"Hey You, Pikachu!",5.7,Ambrella,Nintendo,"Hey You, Pikachu! (USA).z64",16.0 MiB,1.1 GiB
Fighter Destiny 2,5.4,Opus,SouthPeak Games,Fighter Destiny 2 (USA).z64,16.0 MiB,1.1 GiB
Scooby-Doo! Classic Creep Capers,5.3,Terraglyph Interactive Studios,THQ,Scooby-Doo! - Classic Creep Capers (USA) (Rev 1).z64,16.0 MiB,1.1 GiB
Rally Challenge 2000,4.1,Genki,SouthPeak Games,Rally Challenge 2000 (USA).z64,12.0 MiB,1.1 GiB
Blues Brothers 2000,3.7,Player 1,Titus Software,Blues Brothers 2000 (USA).z64,16.0 MiB,1.1 GiB
